[2023-10-09 14:48:54,369]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2024-03-12 14:06:21,318]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2024-03-12 14:06:21,319]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2024-03-12 14:06:21,319]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2024-03-12 18:47:14,980]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2024-03-12 18:47:14,985]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2024-03-12 18:47:14,986]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2024-03-12 18:47:14,986]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2024-03-13 15:11:59,105]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2024-03-13 15:11:59,113]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2024-03-13 15:11:59,113]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2024-03-13 15:11:59,114]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2024-03-13 16:19:45,222]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2024-03-13 16:19:45,229]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2024-03-13 16:19:45,231]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2024-03-13 16:19:45,232]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2024-03-18 15:56:16,170]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2024-03-18 15:56:16,174]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2024-03-18 15:56:16,175]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2024-03-18 15:56:16,175]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2024-03-18 19:07:25,331]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2024-03-18 19:07:25,339]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2024-03-18 19:07:25,340]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2024-03-18 19:07:25,341]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2024-04-05 17:14:05,528]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2024-04-05 17:14:05,532]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2024-04-05 17:14:05,533]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2024-04-05 17:14:05,533]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
